Pavarde           Vardas            Egzaminas         Galutinis (Med.)  Galutinis (Vid.)
Pavarde879        Vardas879         8.00              7.20              7.12              
Pavarde881        Vardas881         9.00              7.40              7.24              
Pavarde882        Vardas882         6.00              6.80              6.64              
Pavarde883        Vardas883         9.00              7.00              7.32              
Pavarde885        Vardas885         8.00              6.40              6.96              
Pavarde886        Vardas886         9.00              7.80              7.64              
Pavarde887        Vardas887         6.00              5.20              5.68              
Pavarde888        Vardas888         9.00              7.40              7.96              
Pavarde889        Vardas889         8.00              6.00              6.16              
Pavarde893        Vardas893         9.00              8.60              8.12              
Pavarde894        Vardas894         4.00              6.00              5.12              
Pavarde895        Vardas895         6.00              5.60              5.52              
Pavarde896        Vardas896         8.00              7.60              7.28              
Pavarde898        Vardas898         8.00              6.00              6.48              
Pavarde902        Vardas902         6.00              5.60              5.76              
Pavarde903        Vardas903         10.00             8.00              8.40              
Pavarde907        Vardas907         6.00              5.60              6.16              
Pavarde908        Vardas908         10.00             8.80              8.40              
Pavarde909        Vardas909         8.00              6.40              6.56              
Pavarde910        Vardas910         8.00              6.80              6.80              
Pavarde911        Vardas911         6.00              5.60              5.28              
Pavarde912        Vardas912         9.00              7.80              7.32              
Pavarde913        Vardas913         4.00              5.20              5.20              
Pavarde914        Vardas914         8.00              8.40              8.16              
Pavarde915        Vardas915         10.00             8.00              7.76              
Pavarde922        Vardas922         8.00              7.60              7.44              
Pavarde923        Vardas923         4.00              5.60              5.44              
Pavarde924        Vardas924         8.00              6.40              6.88              
Pavarde925        Vardas925         9.00              7.80              7.40              
Pavarde928        Vardas928         9.00              7.80              7.80              
Pavarde931        Vardas931         7.00              5.80              5.96              
Pavarde933        Vardas933         6.00              4.80              5.52              
Pavarde934        Vardas934         9.00              7.00              7.00              
Pavarde936        Vardas936         5.00              5.00              5.32              
Pavarde939        Vardas939         7.00              6.60              6.84              
Pavarde940        Vardas940         4.00              5.60              5.04              
Pavarde941        Vardas941         10.00             8.40              8.00              
Pavarde945        Vardas945         7.00              7.00              6.44              
Pavarde946        Vardas946         7.00              5.00              5.72              
Pavarde955        Vardas955         8.00              7.20              7.20              
Pavarde956        Vardas956         7.00              6.20              6.04              
Pavarde958        Vardas958         9.00              8.20              8.20              
Pavarde959        Vardas959         6.00              5.60              5.60              
Pavarde960        Vardas960         9.00              9.00              8.36              
Pavarde963        Vardas963         9.00              8.20              8.28              
Pavarde964        Vardas964         5.00              6.20              5.72              
Pavarde965        Vardas965         5.00              5.40              5.24              
Pavarde966        Vardas966         8.00              6.00              6.64              
Pavarde969        Vardas969         7.00              7.00              6.52              
Pavarde971        Vardas971         8.00              6.00              6.88              
Pavarde972        Vardas972         8.00              6.00              6.32              
Pavarde973        Vardas973         9.00              7.80              7.56              
Pavarde975        Vardas975         5.00              5.00              5.16              
Pavarde976        Vardas976         5.00              5.80              5.56              
Pavarde977        Vardas977         9.00              9.00              8.28              
Pavarde978        Vardas978         6.00              6.00              5.60              
Pavarde979        Vardas979         7.00              7.00              6.28              
Pavarde980        Vardas980         8.00              6.00              6.32              
Pavarde981        Vardas981         6.00              5.60              5.76              
Pavarde982        Vardas982         9.00              8.20              7.88              
Pavarde983        Vardas983         9.00              6.20              7.40              
Pavarde984        Vardas984         8.00              7.20              7.04              
Pavarde985        Vardas985         8.00              6.00              6.16              
Pavarde986        Vardas986         6.00              4.80              5.12              
Pavarde988        Vardas988         6.00              7.20              6.88              
Pavarde990        Vardas990         6.00              6.80              6.32              
Pavarde993        Vardas993         7.00              5.40              5.64              
Pavarde994        Vardas994         9.00              8.20              7.96              
Pavarde996        Vardas996         7.00              6.20              6.04              
Pavarde997        Vardas997         6.00              6.40              5.76              
Pavarde998        Vardas998         9.00              7.40              7.72              
Pavarde999        Vardas999         8.00              6.80              6.88              
Pavarde1000       Vardas1000        9.00              9.00              7.96              
